Ref,Eng,Heb6,Heb5,Heb4,Heb3,Heb2,Heb1,Highlight,Morph,Strongs
Gen.1.1-01,in the head,,,,,רֵאשׁית,בְּ,p,HR/Ncfsa,H9003=ב=in/H7225=רֵאשִׁית=first_§1_beginning
Gen.1.1-02,he has cut-out,,,,,,בָּרָא,,HVqp3ms,H1254a=בָּרָא=to create
Gen.1.1-03,elohim,,,,,,אֱלֹהים,,HNcmpa,H0430=אֱלֹהִים=God_§God@Gen.1.1
Gen.1.1-04,אֵת-,,,,,,אֵת,b,HTo,H0853=אֵת=obj.
Gen.1.1-05,the Heavenly-pair,,,,,שָּׁמַיִם,הָ,,HTd/Ncmpa,H9009=ה=the/H8064=שָׁמַיִם=heaven
Gen.1.1-06,אֵת-and,,,,,אֵת,וְ,b,HC/To,H9002=ו=and/H0853=אֵת=obj.
Gen.1.1-07,,,,,׃,אָרֶץ,הָ,,HTd/Ncbsa,H9009=ה=the/H0776=אֶ֫רֶץ=land_§3_planet/H9016=׃=verseEnd
Gen.1.2-01,,,,,אָ֗רֶץ,הָ,וְ,,HC/Td/Ncbsa,H9002=ו=and/H9009=ה=the/H0776=אֶ֫רֶץ=land_§3_planet
Gen.1.2-02,,,,,,,הָיְתָה,,HVqp3fs,H1961=הָיָה=to be
Gen.1.2-03,,,,,,,תֹהוּ,,HNcbsa,H8414=תֹּ֫הוּ=formlessness
Gen.1.2-04,,,,,,בֹהוּ,וָ,,HC/Ncbsa,H9002=ו=and/H0922=בֹּהוּ=void
Gen.1.2-05,,,,,,חֹשֶׁךְ,וְ,,HC/Ncbsa,H9002=ו=and/H2822=חֹ֫שֶׁךְ=darkness
Gen.1.2-06,,,,,,־,עַל,,HR,H5921a=עַל=upon/H9014=־=link
Gen.1.2-07,,,,,,,פְּנֵי,,HNcmpc,H6440=פָּנֶה=face_§4_surface|land
Gen.1.2-08,,,,,,,תְהוֹם,,HNcbsa,H8415=תְּהוֹם=abyss
Gen.1.2-09,,,,,,רוּחַ,וְ,,HC/Ncbsc,H9002=ו=and/H7307=רוּחַ=spirit_§1_spirit
Gen.1.2-10,,,,,,,אֱלֹהִים,,HNcmpa,H0430=אֱלֹהִים=God_§God@Gen.1.1
Gen.1.2-11,,,,,,,מְרַחֶפֶת,,HVprfsa,H7363b=רָחַף=to hover
Gen.1.2-12,,,,,,־,עַל,,HR,H5921a=עַל=upon/H9014=־=link
Gen.1.2-13,,,,,,,פְּנֵי,,HNcmpc,H6440=פָּנֶה=face_§4_surface|land
Gen.1.2-14,,,,,׃,מָּיִם,הָ,,HTd/Ncmpa,H9009=ה=the/H4325=מַי=water_§_water/H9016=׃=verseEnd
Gen.1.3-01,,,,,,יֹּאמֶר,וַ,,Hc/Vqw3ms,H9001=ו=seq/H0559=אָמַר=to say
Gen.1.3-02,,,,,,,אֱלֹהים,,HNcmpa,H0430=אֱלֹהִים=God_§God@Gen.1.1
Gen.1.3-03,,,,,,,יְהִי,,HVqi3ms,H1961=הָיָה=to be
Gen.1.3-04,,,,,,,אוֹר,,HNcbsa,H0216=אוֹר=light
Gen.1.3-05,,,,,־,יְהִי,וַ,,Hc/Vqw3ms,H9001=ו=seq/H1961=הָיָה=to be/H9014=־=link
Gen.1.3-06,,,,,,׃,אוֹר,,HNcbsa,H0216=אוֹר=light/H9016=׃=verseEnd
Gen.1.4-01,,,,,,יַּרְא,וַ,,Hc/Vqw3ms,H9001=ו=seq/H7200=רָאָה=to see_§1_see|show
Gen.1.4-02,,,,,,,אֱלֹהִים,,HNcmpa,H0430=אֱלֹהִים=God_§God@Gen.1.1
Gen.1.4-03,,,,,,־,אֶת,,HTo,H0853=אֵת=obj./H9014=־=link
Gen.1.4-04,,,,,,אוֹר,הָ,,HTd/Ncbsa,H9009=ה=the/H0216=אוֹר=light
Gen.1.4-05,,,,,,־,כִּי,,HTc,H3588a=כִּי=for/H9014=־=link
Gen.1.4-06,,,,,,,טוֹב,,HVqp3ms,H2896a=טוֹב=pleasant
Gen.1.4-07,,,,,,יַּבְדֵּל,וַ,,Hc/Vhw3ms,H9001=ו=seq/H0914=בָּדַל=to separate
Gen.1.4-08,,,,,,,אֱלֹהִים,,HNcmpa,H0430=אֱלֹהִים=God_§God@Gen.1.1
Gen.1.4-09,,,,,,,בֵּין,,HNcbsc,H0996=בַּ֫יִן=between_§1_between
Gen.1.4-10,,,,,,אוֹר,הָ,,HTd/Ncbsa,H9009=ה=the/H0216=אוֹר=light
Gen.1.4-11,,,,,,בֵין,וּ,,HC/Ncbsc,H9002=ו=and/H0996=בַּ֫יִן=between_§1_between
Gen.1.4-12,,,,,׃,חֹשֶׁךְ,הָ,,HTd/Ncbsa,H9009=ה=the/H2822=חֹ֫שֶׁךְ=darkness/H9016=׃=verseEnd
Gen.1.5-01,,,,,,יִּקְרָא,וַ,,Hc/Vqw3ms,H9001=ו=seq/H7121=קָרָא=to call_§2_call_by|name
Gen.1.5-02,,,,,,׀,אֱלֹהִים,,HNcmpa,H0430=אֱלֹהִים=God_§God@Gen.1.1/H9015=׀=separate
Gen.1.5-03,,,,,,אוֹר,לָ,,HRd/Ncbsa,H9005=ל=to/H0216=אוֹר=light
Gen.1.5-04,,,,,,,יוֹם,,HNcbsa,H3117=יוֹם=day_§1_day
Gen.1.5-05,,,,,חֹשֶׁךְ,לַ,וְ,,HC/Rd/Ncbsa,H9002=ו=and/H9005=ל=to/H2822=חֹ֫שֶׁךְ=darkness
Gen.1.5-06,,,,,,,קָרָא,,HVqp3ms,H7121=קָרָא=to call_§2_call_by|name
Gen.1.5-07,,,,,,,לָיְלָה,,HNcbsa,H3915=לַ֫יְלָה=night
Gen.1.5-08,,,,,־,יְהִי,וַ,,Hc/Vqw3ms,H9001=ו=seq/H1961=הָיָה=to be/H9014=־=link
Gen.1.5-09,,,,,,,עֶרֶב,,HNcbsa,H6153=עֶ֫רֶב=evening
Gen.1.5-10,,,,,־,יְהִי,וַ,,Hc/Vqw3ms,H9001=ו=seq/H1961=הָיָה=to be/H9014=־=link
Gen.1.5-11,,,,,,,בֹקֶר,,HNcbsa,H1242=בֹּ֫קֶר=morning
Gen.1.5-12,,,,,,,יוֹם,,HNcbsa,H3117=יוֹם=day_§1_day
Gen.1.5-13,one,,,,פ,׃,אֶחָד,l,HAcbsa,H0259=אֶחָד=one/H9016=׃=verseEnd/H9017=פ=para
Gen.1.6-01,,,,,,יֹּאמֶר,וַ,,Hc/Vqw3ms,H9001=ו=seq/H0559=אָמַר=to say
Gen.1.6-02,,,,,,,אֱלֹהִים,,HNcmpa,H0430=אֱלֹהִים=God_§God@Gen.1.1
Gen.1.6-03,,,,,,,יְהִי,,HVqi3ms,H1961=הָיָה=to be
Gen.1.6-04,,,,,,,רָקיעַ,,HNcbsa,H7549=רָקִיעַ=expanse
Gen.1.6-05,,,,,,תוֹךְ,בְּ,,HR/Ncbsc,H9003=ב=in/H8432=תָּ֫וֶךְ=midst
Gen.1.6-06,,,,,,מָּיִם,הָ,,HTd/Ncmpa,H9009=ה=the/H4325=מַי=water_§_water
Gen.1.6-07,,,,,,יהִי,וִ,,HC/Vqu3ms,H9002=ו=and/H1961=הָיָה=to be
Gen.1.6-08,,,,,,,מַבְדִּיל,,HVhrmsa,H0914=בָּדַל=to separate
Gen.1.6-09,,,,,,,בֵּין,,HNcbsc,H0996=בַּ֫יִן=between_§1_between
Gen.1.6-10,,,,,,,מַיִם,,HNcmpa,H4325=מַי=water_§_water
Gen.1.6-11,,,,,׃,מָיִם,לָ,,HR/Ncmpa,H9005=ל=to/H4325=מַי=water_§_water/H9016=׃=verseEnd
Gen.1.7-01,,,,,,יַּעַשׂ,וַ,,Hc/Vqw3ms,H9001=ו=seq/H6213a=עָשָׂה=to make_§1_make(OBJECT)
Gen.1.7-02,,,,,,,אֱלֹהִים,,HNcmpa,H0430=אֱלֹהִים=God_§God@Gen.1.1
Gen.1.7-03,,,,,,־,אֶת,,HTo,H0853=אֵת=obj./H9014=־=link
Gen.1.7-04,,,,,,רָקִיעַ֒,הָ,,HTd/Ncbsa,H9009=ה=the/H7549=רָקִיעַ=expanse
Gen.1.7-05,,,,,,יַּבְדֵּ֗ל,וַ,,Hc/Vhw3ms,H9001=ו=seq/H0914=בָּדַל=to separate
Gen.1.7-06,,,,,,,בֵּין,,HNcbsc,H0996=בַּ֫יִן=between_§1_between
Gen.1.7-07,,,,,,מַּיִם,הָ,,HTd/Ncmpa,H9009=ה=the/H4325=מַי=water_§_water
Gen.1.7-08,,,,,,,אֲשֶׁר,,HTr,H0834a=אֲשֶׁר=which
Gen.1.7-09,,,,,,תַּחַת,מִ,,HR/Ncbsc,H9006=מ=from/H8478=תַּחַת=underneath_§1_under|below
Gen.1.7-10,,,,,,רָקִיעַ,לָ,,HRd/Ncbsa,H9005=ל=to/H7549=רָקִיעַ=expanse
Gen.1.7-11,,,,,,בֵין,וּ,,HC/Ncbsc,H9002=ו=and/H0996=בַּ֫יִן=between_§1_between
Gen.1.7-12,,,,,,מַּיִם,הָ,,HTd/Ncmpa,H9009=ה=the/H4325=מַי=water_§_water
Gen.1.7-13,,,,,,,אֲשֶׁר,,HTr,H0834a=אֲשֶׁר=which
Gen.1.7-14,,,,,,עַל,מֵ,,HR/R,H9006=מ=from/H5921a=עַל=upon
Gen.1.7-15,,,,,,רָקיעַ,לָ,,HRd/Ncbsa,H9005=ל=to/H7549=רָקִיעַ=expanse
Gen.1.7-16,,,,,־,יְהִי,וַ,,Hc/Vqw3ms,H9001=ו=seq/H1961=הָיָה=to be/H9014=־=link
Gen.1.7-17,,,,,,׃,כֵן,,HD,H3651c=כֵּן=so/H9016=׃=verseEnd
Gen.1.8-01,,,,,,יִּקְרָא,וַ,,Hc/Vqw3ms,H9001=ו=seq/H7121=קָרָא=to call_§2_call_by|name
Gen.1.8-02,,,,,,,אֱלֹהִים,,HNcmpa,H0430=אֱלֹהִים=God_§God@Gen.1.1
Gen.1.8-03,,,,,,רָקיעַ,לָ,,HRd/Ncbsa,H9005=ל=to/H7549=רָקִיעַ=expanse
Gen.1.8-04,,,,,,,שָׁמָיִם,,HNcmpa,H8064=שָׁמַיִם=heaven
Gen.1.8-05,,,,,־,יְהִי,וַ,,Hc/Vqw3ms,H9001=ו=seq/H1961=הָיָה=to be/H9014=־=link
Gen.1.8-06,,,,,,,עֶרֶב,,HNcbsa,H6153=עֶ֫רֶב=evening
Gen.1.8-07,,,,,־,יְהִי,וַ,,Hc/Vqw3ms,H9001=ו=seq/H1961=הָיָה=to be/H9014=־=link
Gen.1.8-08,,,,,,,בֹקֶר,,HNcbsa,H1242=בֹּ֫קֶר=morning
Gen.1.8-09,,,,,,,יוֹם,,HNcbsa,H3117=יוֹם=day_§1_day
Gen.1.8-10,,,,,פ,׃,שֵׁנִי,,HAobsa,H8145=שֵׁנִי=second/H9016=׃=verseEnd/H9017=פ=para
Gen.1.9-01,,,,,,יֹּאמֶר,וַ,,Hc/Vqw3ms,H9001=ו=seq/H0559=אָמַר=to say
Gen.1.9-02,,,,,,,אֱלֹהִ֗ים,,HNcmpa,H0430=אֱלֹהִים=God_§God@Gen.1.1
Gen.1.9-03,,,,,,,יִקָּווּ,,HVNi3mp,H6960b=קָוָה=to collect
Gen.1.9-04,,,,,,מַּ֜יִם,הָ,,HTd/Ncmpa,H9009=ה=the/H4325=מַי=water_§_water
Gen.1.9-05,,,,,,תַּחַת,מִ,,HR/Ncbsc,H9006=מ=from/H8478=תַּחַת=underneath_§1_under|below
Gen.1.9-06,,,,,,שָּׁמַיִם,הָ,,HTd/Ncmpa,H9009=ה=the/H8064=שָׁמַיִם=heaven
Gen.1.9-07,,,,,,־,אֶל,,HR,H0413=אֶל=to(wards)/H9014=־=link
Gen.1.9-08,,,,,,,מָקוֹם,,HNcbsa,H4725=מָקוֹם=standing place
Gen.1.9-09,,,,,,,אֶחָד,,HAcbsa,H0259=אֶחָד=one
Gen.1.9-10,,,,,,תֵרָאֶה,וְ,,HC/VNu3fs,H9002=ו=and/H7200=רָאָה=to see_§1_see|show
